NAME,CPU %,MEM USAGE / LIMIT / MEM %,NET I/O,BLOCK I/O,STATUS,Date/Time
platform-nginx-1,0.02%,103.9MiB / 1.946GiB / 5.21%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 17:56:36.515853
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.8MB / 149MB,152MB / 356kB,Up,2023-10-17 17:56:36.515853
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.8kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 17:56:36.515853
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.8MB,Up,2023-10-17 17:56:36.515853
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,59.9MB / 74.7MB,104MB / 1.2GB,Up,2023-10-17 17:56:36.515853
ipsec-vpn-server,0.00%,9.34MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 17:56:36.515853
platform-nginx-1,0.02%,103.9MiB / 1.946GiB / 5.21%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 17:58:29.251923
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.8MB / 150MB,152MB / 356kB,Up,2023-10-17 17:58:29.251923
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.8kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 17:58:29.251923
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.8MB,Up,2023-10-17 17:58:29.251923
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,60MB / 74.7MB,104MB / 1.2GB,Up,2023-10-17 17:58:29.251923
ipsec-vpn-server,0.00%,9.656MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 17:58:29.251923
platform-nginx-1,0.02%,103.9MiB / 1.946GiB / 5.22%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 17:59:24.717623
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.8MB / 150MB,152MB / 356kB,Up,2023-10-17 17:59:24.717623
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.8kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 17:59:24.717623
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.8MB,Up,2023-10-17 17:59:24.717623
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,60MB / 74.7MB,104MB / 1.2GB,Up,2023-10-17 17:59:24.717623
ipsec-vpn-server,0.00%,9.676MiB / 1.946GiB / 0.49%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 17:59:24.717623
platform-nginx-1,0.02%,104.1MiB / 1.946GiB / 5.23%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 18:06:36.516898
odoo,0.03%,252.9MiB / 1.946GiB / 12.69%,80.8MB / 150MB,152MB / 356kB,Up,2023-10-17 18:06:36.516898
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.8kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 18:06:36.516898
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.9MB,Up,2023-10-17 18:06:36.516898
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,60MB / 74.7MB,104MB / 1.2GB,Up,2023-10-17 18:06:36.516898
ipsec-vpn-server,0.00%,9.348MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 18:06:36.516898
platform-nginx-1,0.02%,104.2MiB / 1.946GiB / 5.23%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 18:08:29.255688
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.8MB / 150MB,152MB / 356kB,Up,2023-10-17 18:08:29.255688
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.8kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 18:08:29.255688
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50MB,Up,2023-10-17 18:08:29.255688
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,60MB / 74.7MB,104MB / 1.2GB,Up,2023-10-17 18:08:29.255688
ipsec-vpn-server,0.00%,9.652MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 18:08:29.255688
platform-nginx-1,0.02%,104.2MiB / 1.946GiB / 5.23%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 18:09:24.718248
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.8MB / 150MB,152MB / 356kB,Up,2023-10-17 18:09:24.718248
platform-pgadmin-1,0.05%,116.9MiB / 1.946GiB / 5.87%,50.8kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 18:09:24.718248
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50MB,Up,2023-10-17 18:09:24.718248
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,60MB / 74.7MB,104MB / 1.2GB,Up,2023-10-17 18:09:24.718248
ipsec-vpn-server,0.00%,9.645MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 18:09:24.718248
platform-nginx-1,0.02%,104.5MiB / 1.946GiB / 5.24%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 18:16:36.515907
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,81MB / 150MB,152MB / 360kB,Up,2023-10-17 18:16:36.515907
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.9kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 18:16:36.515907
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.1MB,Up,2023-10-17 18:16:36.515907
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,60.1MB / 74.8MB,104MB / 1.2GB,Up,2023-10-17 18:16:36.515907
ipsec-vpn-server,0.00%,9.355MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 18:16:36.515907
platform-nginx-1,0.02%,104.5MiB / 1.946GiB / 5.24%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 18:18:29.252022
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,81MB / 150MB,152MB / 360kB,Up,2023-10-17 18:18:29.252022
platform-pgadmin-1,0.05%,116.9MiB / 1.946GiB / 5.87%,50.9kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 18:18:29.252022
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.1MB,Up,2023-10-17 18:18:29.252022
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,60.2MB / 74.9MB,104MB / 1.2GB,Up,2023-10-17 18:18:29.252022
ipsec-vpn-server,0.00%,9.652MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 18:18:29.252022
platform-nginx-1,0.03%,104.5MiB / 1.946GiB / 5.25%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 18:19:24.718231
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,81MB / 150MB,152MB / 360kB,Up,2023-10-17 18:19:24.718231
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.9kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 18:19:24.718231
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.1MB,Up,2023-10-17 18:19:24.718231
postgres,0.70%,140.3MiB / 1.946GiB / 7.04%,60.2MB / 74.9MB,104MB / 1.2GB,Up,2023-10-17 18:19:24.718231
ipsec-vpn-server,0.00%,9.691MiB / 1.946GiB / 0.49%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 18:19:24.718231
platform-nginx-1,0.02%,103.8MiB / 1.946GiB / 5.21%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 18:26:36.516853
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,81.2MB / 150MB,152MB / 360kB,Up,2023-10-17 18:26:36.516853
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.9kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 18:26:36.516853
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.2MB,Up,2023-10-17 18:26:36.516853
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,60.3MB / 75MB,104MB / 1.21GB,Up,2023-10-17 18:26:36.516853
ipsec-vpn-server,0.00%,9.324MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 18:26:36.516853
platform-nginx-1,0.02%,103.8MiB / 1.946GiB / 5.21%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 18:28:29.255958
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,81.2MB / 150MB,152MB / 360kB,Up,2023-10-17 18:28:29.255958
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.9kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 18:28:29.255958
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.2MB,Up,2023-10-17 18:28:29.255958
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,60.3MB / 75MB,104MB / 1.21GB,Up,2023-10-17 18:28:29.255958
ipsec-vpn-server,0.00%,9.648MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 18:28:29.255958
platform-nginx-1,0.02%,103.8MiB / 1.946GiB / 5.21%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 18:29:24.717633
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,81.2MB / 150MB,152MB / 360kB,Up,2023-10-17 18:29:24.717633
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.9kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 18:29:24.717633
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.2MB,Up,2023-10-17 18:29:24.717633
postgres,0.63%,140.3MiB / 1.946GiB / 7.04%,60.3MB / 75MB,104MB / 1.21GB,Up,2023-10-17 18:29:24.717633
ipsec-vpn-server,0.00%,9.66MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 18:29:24.717633
platform-nginx-1,0.02%,108.7MiB / 1.946GiB / 5.46%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 18:36:36.516016
odoo,0.02%,253.2MiB / 1.946GiB / 12.70%,81.4MB / 150MB,152MB / 360kB,Up,2023-10-17 18:36:36.516016
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.9kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 18:36:36.516016
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.3MB,Up,2023-10-17 18:36:36.516016
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,60.5MB / 75.1MB,104MB / 1.21GB,Up,2023-10-17 18:36:36.516016
ipsec-vpn-server,0.00%,9.352MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 18:36:36.516016
platform-nginx-1,0.02%,108.8MiB / 1.946GiB / 5.46%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 18:38:29.252653
odoo,0.02%,253.2MiB / 1.946GiB / 12.70%,81.4MB / 150MB,152MB / 360kB,Up,2023-10-17 18:38:29.252653
platform-pgadmin-1,0.05%,116.9MiB / 1.946GiB / 5.87%,50.9kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 18:38:29.252653
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.3MB,Up,2023-10-17 18:38:29.252653
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,60.5MB / 75.2MB,104MB / 1.21GB,Up,2023-10-17 18:38:29.252653
ipsec-vpn-server,0.00%,9.641MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 18:38:29.252653
platform-nginx-1,0.02%,108MiB / 1.946GiB / 5.42%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 18:39:24.718401
odoo,0.02%,253.2MiB / 1.946GiB / 12.70%,81.5MB / 150MB,152MB / 360kB,Up,2023-10-17 18:39:24.718401
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.9kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 18:39:24.718401
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.3MB,Up,2023-10-17 18:39:24.718401
postgres,0.81%,140.3MiB / 1.946GiB / 7.04%,60.5MB / 75.2MB,104MB / 1.21GB,Up,2023-10-17 18:39:24.718401
ipsec-vpn-server,0.00%,9.68MiB / 1.946GiB / 0.49%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 18:39:24.718401
platform-nginx-1,0.02%,108.2MiB / 1.946GiB / 5.43%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 18:46:36.515693
odoo,0.02%,253.2MiB / 1.946GiB / 12.70%,81.6MB / 150MB,152MB / 360kB,Up,2023-10-17 18:46:36.515693
platform-pgadmin-1,0.05%,117MiB / 1.946GiB / 5.87%,50.9kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 18:46:36.515693
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.4MB,Up,2023-10-17 18:46:36.515693
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,60.6MB / 75.3MB,104MB / 1.21GB,Up,2023-10-17 18:46:36.515693
ipsec-vpn-server,0.00%,9.328MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 18:46:36.515693
platform-nginx-1,0.02%,108.3MiB / 1.946GiB / 5.43%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 18:48:29.252044
odoo,0.02%,253.2MiB / 1.946GiB / 12.70%,81.6MB / 150MB,152MB / 360kB,Up,2023-10-17 18:48:29.252044
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,50.9kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 18:48:29.252044
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.5MB,Up,2023-10-17 18:48:29.252044
postgres,0.01%,140.3MiB / 1.946GiB / 7.04%,60.6MB / 75.3MB,104MB / 1.21GB,Up,2023-10-17 18:48:29.252044
ipsec-vpn-server,0.00%,9.656MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 18:48:29.252044
platform-nginx-1,0.02%,108.4MiB / 1.946GiB / 5.44%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 18:49:24.718323
odoo,0.02%,253.2MiB / 1.946GiB / 12.70%,81.6MB / 150MB,152MB / 360kB,Up,2023-10-17 18:49:24.718323
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,51.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 18:49:24.718323
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.5MB,Up,2023-10-17 18:49:24.718323
postgres,0.79%,140.3MiB / 1.946GiB / 7.04%,60.7MB / 75.3MB,104MB / 1.21GB,Up,2023-10-17 18:49:24.718323
ipsec-vpn-server,0.00%,9.664MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 18:49:24.718323
platform-nginx-1,0.02%,108.6MiB / 1.946GiB / 5.45%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 18:56:36.516472
odoo,0.02%,253.2MiB / 1.946GiB / 12.70%,81.7MB / 150MB,152MB / 360kB,Up,2023-10-17 18:56:36.516472
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,51.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 18:56:36.516472
platform-dps-1,0.02%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.5MB,Up,2023-10-17 18:56:36.516472
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,60.8MB / 75.4MB,104MB / 1.22GB,Up,2023-10-17 18:56:36.516472
ipsec-vpn-server,0.00%,9.34MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 18:56:36.516472
platform-nginx-1,0.02%,104.1MiB / 1.946GiB / 5.22%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 18:58:29.252718
odoo,0.02%,253.2MiB / 1.946GiB / 12.70%,81.8MB / 150MB,152MB / 365kB,Up,2023-10-17 18:58:29.252718
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,51.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 18:58:29.252718
platform-dps-1,0.26%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.6MB,Up,2023-10-17 18:58:29.252718
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,60.8MB / 75.5MB,104MB / 1.22GB,Up,2023-10-17 18:58:29.252718
ipsec-vpn-server,0.00%,9.645MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 18:58:29.252718
platform-nginx-1,0.02%,104.1MiB / 1.946GiB / 5.22%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 18:59:24.718223
odoo,0.02%,253.2MiB / 1.946GiB / 12.70%,81.8MB / 150MB,152MB / 365kB,Up,2023-10-17 18:59:24.718223
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,51.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 18:59:24.718223
platform-dps-1,0.02%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.6MB,Up,2023-10-17 18:59:24.718223
postgres,0.75%,140.3MiB / 1.946GiB / 7.04%,60.8MB / 75.5MB,104MB / 1.22GB,Up,2023-10-17 18:59:24.718223
ipsec-vpn-server,0.00%,9.652MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 18:59:24.718223
platform-nginx-1,0.52%,103.5MiB / 1.946GiB / 5.19%,114MB / 93.4MB,93.9MB / 58.3MB,Up,2023-10-17 19:06:36.515792
odoo,0.02%,253.2MiB / 1.946GiB / 12.70%,81.9MB / 151MB,152MB / 365kB,Up,2023-10-17 19:06:36.515792
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,51.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 19:06:36.515792
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.7MB,Up,2023-10-17 19:06:36.515792
postgres,0.01%,140.3MiB / 1.946GiB / 7.04%,60.9MB / 75.6MB,104MB / 1.22GB,Up,2023-10-17 19:06:36.515792
ipsec-vpn-server,0.00%,9.34MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 19:06:36.515792
platform-nginx-1,0.02%,103.6MiB / 1.946GiB / 5.20%,114MB / 93.4MB,93.9MB / 58.3MB,Up,2023-10-17 19:08:29.252392
odoo,0.03%,253.2MiB / 1.946GiB / 12.70%,81.9MB / 151MB,152MB / 365kB,Up,2023-10-17 19:08:29.252392
platform-pgadmin-1,0.06%,117MiB / 1.946GiB / 5.87%,51.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 19:08:29.252392
platform-dps-1,0.23%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.7MB,Up,2023-10-17 19:08:29.252392
postgres,0.03%,140.3MiB / 1.946GiB / 7.04%,60.9MB / 75.6MB,104MB / 1.22GB,Up,2023-10-17 19:08:29.252392
ipsec-vpn-server,0.00%,9.695MiB / 1.946GiB / 0.49%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 19:08:29.252392
platform-nginx-1,0.02%,103.6MiB / 1.946GiB / 5.20%,114MB / 93.4MB,93.9MB / 58.3MB,Up,2023-10-17 19:09:24.718056
odoo,0.02%,253.2MiB / 1.946GiB / 12.70%,81.9MB / 151MB,152MB / 365kB,Up,2023-10-17 19:09:24.718056
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,51.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 19:09:24.718056
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.7MB,Up,2023-10-17 19:09:24.718056
postgres,0.66%,140.3MiB / 1.946GiB / 7.04%,61MB / 75.6MB,104MB / 1.22GB,Up,2023-10-17 19:09:24.718056
ipsec-vpn-server,0.00%,9.656MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 19:09:24.718056
platform-nginx-1,0.02%,103.8MiB / 1.946GiB / 5.21%,114MB / 93.4MB,93.9MB / 58.3MB,Up,2023-10-17 19:16:36.516417
odoo,0.02%,253.2MiB / 1.946GiB / 12.70%,82MB / 151MB,152MB / 369kB,Up,2023-10-17 19:16:36.516417
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,51.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 19:16:36.516417
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.8MB,Up,2023-10-17 19:16:36.516417
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,61MB / 75.7MB,104MB / 1.22GB,Up,2023-10-17 19:16:36.516417
ipsec-vpn-server,0.00%,9.305MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 19:16:36.516417
platform-nginx-1,0.03%,103.8MiB / 1.946GiB / 5.21%,114MB / 93.4MB,93.9MB / 58.3MB,Up,2023-10-17 19:18:29.255493
odoo,0.02%,253.2MiB / 1.946GiB / 12.70%,82.1MB / 151MB,152MB / 369kB,Up,2023-10-17 19:18:29.255493
platform-pgadmin-1,0.06%,117MiB / 1.946GiB / 5.87%,51.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 19:18:29.255493
platform-dps-1,0.29%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.8MB,Up,2023-10-17 19:18:29.255493
postgres,0.05%,140.3MiB / 1.946GiB / 7.04%,61.1MB / 75.8MB,104MB / 1.22GB,Up,2023-10-17 19:18:29.255493
ipsec-vpn-server,0.00%,9.652MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 19:18:29.255493
platform-nginx-1,0.04%,103.9MiB / 1.946GiB / 5.21%,114MB / 93.4MB,93.9MB / 58.3MB,Up,2023-10-17 19:19:24.718322
odoo,0.02%,253.2MiB / 1.946GiB / 12.70%,82.1MB / 151MB,152MB / 369kB,Up,2023-10-17 19:19:24.718322
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,51.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 19:19:24.718322
platform-dps-1,0.02%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.8MB,Up,2023-10-17 19:19:24.718322
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,61.1MB / 75.8MB,104MB / 1.22GB,Up,2023-10-17 19:19:24.718322
ipsec-vpn-server,0.00%,9.621MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 19:19:24.718322
platform-nginx-1,0.02%,104.1MiB / 1.946GiB / 5.22%,114MB / 93.4MB,93.9MB / 58.3MB,Up,2023-10-17 19:26:36.516095
odoo,0.02%,253.2MiB / 1.946GiB / 12.70%,82.2MB / 151MB,152MB / 369kB,Up,2023-10-17 19:26:36.516095
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,51.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 19:26:36.516095
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.9MB,Up,2023-10-17 19:26:36.516095
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,61.2MB / 75.9MB,104MB / 1.23GB,Up,2023-10-17 19:26:36.516095
ipsec-vpn-server,0.00%,9.359MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 19:26:36.516095
platform-nginx-1,0.02%,104.1MiB / 1.946GiB / 5.22%,114MB / 93.4MB,93.9MB / 58.3MB,Up,2023-10-17 19:28:29.252786
odoo,0.02%,253.2MiB / 1.946GiB / 12.70%,82.2MB / 151MB,152MB / 369kB,Up,2023-10-17 19:28:29.252786
platform-pgadmin-1,0.06%,117MiB / 1.946GiB / 5.87%,51.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 19:28:29.252786
platform-dps-1,0.25%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 50.9MB,Up,2023-10-17 19:28:29.252786
postgres,0.04%,140.3MiB / 1.946GiB / 7.04%,61.2MB / 75.9MB,104MB / 1.23GB,Up,2023-10-17 19:28:29.252786
ipsec-vpn-server,0.00%,9.645MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 19:28:29.252786
platform-nginx-1,0.02%,104.1MiB / 1.946GiB / 5.23%,114MB / 93.4MB,93.9MB / 58.3MB,Up,2023-10-17 19:29:24.718283
odoo,0.02%,253.2MiB / 1.946GiB / 12.70%,82.3MB / 151MB,152MB / 369kB,Up,2023-10-17 19:29:24.718283
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,51.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 19:29:24.718283
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 51MB,Up,2023-10-17 19:29:24.718283
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,61.3MB / 75.9MB,104MB / 1.23GB,Up,2023-10-17 19:29:24.718283
ipsec-vpn-server,0.00%,9.656MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 19:29:24.718283
platform-nginx-1,0.03%,108.3MiB / 1.946GiB / 5.43%,114MB / 93.4MB,93.9MB / 58.4MB,Up,2023-10-17 19:36:36.516324
odoo,0.02%,253.2MiB / 1.946GiB / 12.70%,82.4MB / 151MB,152MB / 369kB,Up,2023-10-17 19:36:36.516324
platform-pgadmin-1,0.05%,117MiB / 1.946GiB / 5.87%,51.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 19:36:36.516324
platform-dps-1,0.01%,39.41MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34MB / 51MB,Up,2023-10-17 19:36:36.516324
